번호,학년,장소명,주소,추천이유
32,1학년,선농단역사문화관,서울 동대문구 무학로44길 88 선농단역사문화관,"일제강점기이후 역사를 배울수 있고 누구나 즐겁게 참여할 수 있는 윷놀이, 제기차 기, 투호, 칠교놀이 등 다양한 전통 놀이 체험은 물론이고, 농경 사회의 핵심 요소인 모내기 체험까지 풍성하게 마련되어 있으니 가족들과 혹은 연인들, 친구들과 같이 방문해서 체험하기 좋다."
33,1학년,푸르미르공원,서울 동대문구 용두동 7-4 푸르미르공원,가족과 산책하기 좋고 중간 중간에 쉼터가 마련되어 있어 쉬기도 좋다. 강아지들이 산책을 많이 나와서 귀염둥이들을 만날 수 있다.
34,1학년,서울약령시한의학박물관,,케더헌때문에 유명해진 한의학 박물관 전시관도 좋고 족욕체험까지 할수 있다
35,1학년,한별공원,서울 동대문구 용두동,"운동기구, 쉴곳, 놀이터가 있다"
36,1학년,청량리 청과물시장,서울 동대문구 왕산로33길 4,"청량리 청과물시장에 가면 내가 좋아하는 블루베리, 방울토마토, 수박 등등 맛있고 싱싱한 과일들을 많이 살 수 있다. 정겨운 시장의 다양한 모습들을 구경할 수 있다."
37,1학년,푸르미르 공원,서울 동대문구 용두동9-3,여기는 꽃들이랑 풀이 많고 넓어서 뛰어놀거나 킥보드를 탈 수 있어요.
38,1학년,동대문 책마당 도서관,서울시 동대문구 천호대로 145 동대문구청,동대문구청 안에 위치한 도서관으로 더위와 추위를 피해 마음의 양식을 쌓을수 있다.
39,2학년,청계한신휴플러스 롤러스케이트장,서울시 동대문구 서울시립대로 14 청계한신휴플러스 109동 뒷편 롤러스케이트장,"아이는 여기 롤러장에서 처음 자전거를 배웠습니다. 이곳은 자전거뿐만 아니라 롤러스케이트와 인라인스케이트도 연습할 수 있는 공간으로, 안전하게 균형 감각과 운동 능력을 키울 수 있었습니다. 넘어지고 다시 일어나기를 반복하며 자신감을 얻었고, 아이에게는 단순한 연습 공간이 아니라 도전과 성장을 경험한 특별한 장소였습니다."
40,2학년,서울약령시한의학박물관,서울특별시 동대문구 약령중앙로 26,"한국 전통 한의학과 관련된 다양한 유물과 전시를 관람할 수 있고, 직접 체험해 볼 수 있는 프로그램도 마련되어 있어요. 박물관 바로 옆에는 분위기 좋은 전통찻집과 맛있는 돼지갈비 맛집도 있어 함께 둘러보기 좋답니다.  전시 관람부터 먹거리, 체험까지 모두 즐길 수 있어 약령시장에서 주말 나들이를 보내기에 딱 좋은 곳이에요!"
41,2학년,경동시장,서울 동대문구 고산자로 36길 3 경동시장,아이는 시장에서 여러 물건의 가격을 비교하며 경제 개념을 배울 수 있고. 또 직접 물건을 고르면서 자기가 고른 야채를 먹는데 편식도 줄어듭니다. 시장의 활기찬 분위기를 느끼고 다양한 사람들을 만나며 사회성을 기를 수 있습니다.
42,2학년,답십리 도서관,서울 동대문구 서울시립대로4길 75 동대문구 답십리 도서관,도서관에서는 더운 여름이나 추운 겨울에도 날씨의 영향을 받지 않고 다양한 책을 통해 시간여행을 하듯 여러 세상을 경험할 수 있다. 또한 도서관에서 진행하는 다양한 행사와 프로그램에도 참여할 수 있다.
43,2학년,경동1960작은도서관,서울 동대문구 고산자로36길 3,작은 도서관이라서 사람들도 많이 없고 인기있는 책들들도 쉽게 대여 할 수 있어요 경동시장 구경하다가 잠깐 들러 쉬기에도 좋아요
44,2학년,버거킹,서울특별시 동대문구 답십리동 111 1층,더울때 시원한 음료수를 마실 수 있고 맛있는 햄버거와 간식들을 먹을 수 있다.
45,2학년,시립동대문청소년센터,서울 동대문구 서울특별시 동대문구 제기로33길 25 시립동대문청소년센터,청소년축제 등 많은 행사가 있다 행사에 다양한 활동이 가능하다
46,2학년,용두공원,서울 동대문구 청계천로 563 용두공원,산책로가 잘 되어있어요.반려동물과 가기 좋아요
